country,country_code,country_iso,prefix,voice_rate_in_dollars,voice_unit_in_seconds
Ghana,233,GHA,2335,0.40700,60
Nigeria,234,NGA,234,0.14000,60
Chad,235,TCD,235,0.25700,60
Chad,235,TCD,2352,0.44100,60
Chad,235,TCD,2353,0.42700,60
Chad,235,TCD,2355,0.42700,60
Chad,235,TCD,2356,0.48000,60
Chad,235,TCD,2357,0.41500,60
Chad,235,TCD,2359,0.30400,60
Central African Republic,236,CAF,236,0.57900,60
Central African Republic,236,CAF,2362,1.71100,60
Central African Republic,236,CAF,2363,1.39300,60
Central African Republic,236,CAF,2366,0.43700,60
Central African Republic,236,CAF,2367,0.91500,60
Central African Republic,236,CAF,2368,4.47200,60
Cameroon,237,CMR,237,0.25200,60
Cameroon,237,CMR,2372,0.22100,60
Cameroon,237,CMR,2373,0.27100,60
Cameroon,237,CMR,2377,0.36300,60
Cameroon,237,CMR,2378,1.24000,60
Cameroon,237,CMR,2379,0.23800,60
Cape Verde,238,CPV,238,0.32000,60
Cape Verde,238,CPV,2381,0.41400,60
Cape Verde,238,CPV,2385,0.40900,60
Cape Verde,238,CPV,2389,0.41500,60
Equatorial Guinea,240,GNQ,240,0.24300,60
Equatorial Guinea,240,GNQ,2402,0.22900,60
Equatorial Guinea,240,GNQ,2403,0.29100,60
Equatorial Guinea,240,GNQ,2405,0.22900,60
Equatorial Guinea,240,GNQ,2406,0.24400,60
Equatorial Guinea,240,GNQ,2407,0.24400,60
Gabon,241,GAB,241,0.58400,60
Gabon,241,GAB,2410,0.50500,60
Gabon,241,GAB,2412,0.28600,60
Gabon,241,GAB,2413,0.28600,60
Gabon,241,GAB,2414,0.47500,60
Gabon,241,GAB,2415,0.47500,60
Gabon,241,GAB,2416,0.47500,60
Gabon,241,GAB,2417,0.47500,60
Gabon,241,GAB,2418,0.47500,60
Gabon,241,GAB,2419,0.47500,60
Congo,242,COG,242,0.72800,60
Congo,242,COG,2420,0.66700,60
Congo,242,COG,2421,0.19700,60
Congo,242,COG,2423,0.68200,60
Congo,242,COG,2424,0.66700,60
Congo,242,COG,2425,0.66700,60
Congo,242,COG,2426,0.66700,60
Congo,242,COG,2427,0.66700,60
Congo,242,COG,2428,0.69800,60
Congo,242,COG,2429,0.69800,60
Congo Democratic Republic,243,COD,243,0.48500,60
Congo Democratic Republic,243,COD,2431,0.34800,60
Congo Democratic Republic,243,COD,2432,0.46300,60
Congo Democratic Republic,243,COD,2433,0.43700,60
Congo Democratic Republic,243,COD,2434,1.13800,60
Congo Democratic Republic,243,COD,2435,0.46300,60
Congo Democratic Republic,243,COD,2436,0.29600,60
Congo Democratic Republic,243,COD,2437,0.32900,60
Congo Democratic Republic,243,COD,2438,0.42700,60
Congo Democratic Republic,243,COD,2439,0.35600,60
Angola,244,AGO,244,0.17600,60
Angola,244,AGO,2449,0.19600,60
Guinea Bissau,245,GNB,245,0.66400,60
Guinea Bissau,245,GNB,2452,0.66400,60
Guinea Bissau,245,GNB,2454,1.26700,60
Guinea Bissau,245,GNB,2455,0.64700,60
Guinea Bissau,245,GNB,2456,0.59700,60
Guinea Bissau,245,GNB,2457,0.64700,60
Seychelles,248,SYC,248,0.55500,60
Seychelles,248,SYC,2482,0.57900,60
Seychelles,248,SYC,2485,0.22100,60
Seychelles,248,SYC,2487,0.36900,60
Seychelles,248,SYC,2489,0.91200,60
Sudan,249,SDN,249,0.18300,60
Sudan,249,SDN,2491,0.15400,60
Sudan,249,SDN,2499,0.17000,60
Rwanda,250,RWA,250,0.13300,60
Rwanda,250,RWA,2500,0.13600,60
Rwanda,250,RWA,2502,0.16400,60
Rwanda,250,RWA,2507,0.15300,60
Rwanda,250,RWA,2508,0.14900,60
Ethiopia,251,ETH,251,0.26700,60
Ethiopia,251,ETH,2511,0.23200,60
Ethiopia,251,ETH,2512,0.28700,60
Ethiopia,251,ETH,2513,0.28700,60
Ethiopia,251,ETH,2514,0.28700,60
Ethiopia,251,ETH,2515,0.28700,60
Ethiopia,251,ETH,2516,0.38000,60
Ethiopia,251,ETH,2519,0.44900,60
Somalia,252,SOM,252,0.52900,60
Somalia,252,SOM,2521,0.68700,60
Somalia,252,SOM,2522,0.55400,60
Somalia,252,SOM,2523,2.12700,60
Somalia,252,SOM,2524,1.24000,60
Somalia,252,SOM,2525,0.53500,60
Somalia,252,SOM,2526,0.47200,60
Somalia,252,SOM,2527,2.30900,60
Somalia,252,SOM,2528,0.52000,60
Somalia,252,SOM,2529,0.67900,60
Djibouti,253,DJI,253,0.37000,60
Djibouti,253,DJI,2532,0.50700,60
Djibouti,253,DJI,2535,0.54300,60
Djibouti,253,DJI,2536,0.36900,60
Djibouti,253,DJI,2537,0.54300,60
Djibouti,253,DJI,2538,0.37100,60
Kenya,254,KEN,254,0.17700,60
Kenya,254,KEN,2541,0.17700,60
Kenya,254,KEN,2542,0.17600,60
Kenya,254,KEN,2544,0.14500,60
Kenya,254,KEN,2547,0.15000,60
Tanzania,255,TZA,255,0.34900,60
Tanzania,255,TZA,2552,0.34700,60
Tanzania,255,TZA,2556,0.37300,60
Tanzania,255,TZA,2557,0.34600,60
Uganda,256,UGA,256,0.23200,60
Uganda,256,UGA,2562,0.20800,60
Uganda,256,UGA,2563,0.17900,60
Uganda,256,UGA,2564,0.22700,60
Uganda,256,UGA,2567,0.19800,60
Uganda,256,UGA,2569,0.17200,60
Burundi,257,BDI,257,0.15700,60
Burundi,257,BDI,2572,0.08200,60
Burundi,257,BDI,2577,0.22200,60
Mozambique,258,MOZ,258,0.15500,60
Mozambique,258,MOZ,2588,0.23200,60
Zambia,260,ZMB,260,0.11800,60
Zambia,260,ZMB,2602,0.07700,60
Zambia,260,ZMB,2609,0.27300,60
Madagascar,261,MDG,261,0.75400,60
Madagascar,261,MDG,2612,0.85700,60
Madagascar,261,MDG,2613,0.85200,60
Madagascar,261,MDG,2617,0.77400,60
Reunion,262,REU,262,0.09600,60
Reunion,262,REU,2622,0.16600,60
Reunion,262,REU,2626,0.51100,60
Zimbabwe,263,ZWE,263,0.11100,60
Zimbabwe,263,ZWE,2631,0.25400,60
Zimbabwe,263,ZWE,2632,0.47300,60
Zimbabwe,263,ZWE,2634,0.10300,60
Zimbabwe,263,ZWE,2637,0.57000,60
Zimbabwe,263,ZWE,2639,0.49900,60
Namibia,264,NAM,264,0.13000,60
Namibia,264,NAM,2646,0.29500,60
Namibia,264,NAM,2648,0.29500,60
Malawi,265,MWI,265,0.20000,60
Malawi,265,MWI,2653,0.20500,60
Malawi,265,MWI,2654,0.14500,60
Malawi,265,MWI,2655,0.14300,60
Malawi,265,MWI,2658,0.16000,60
Malawi,265,MWI,2659,0.16000,60
Lesotho,266,LSO,266,0.41000,60
Lesotho,266,LSO,2662,0.32700,60
Lesotho,266,LSO,2665,0.35800,60
Lesotho,266,LSO,2666,0.41500,60
Lesotho,266,LSO,2668,0.41000,60
Botswana,267,BWA,267,0.10300,60
Botswana,267,BWA,2677,0.20900,60
Swaziland,268,SWZ,268,0.13700,60
Swaziland,268,SWZ,2686,0.25900,60
Swaziland,268,SWZ,2687,0.32500,60
Comoros,269,COM,269,0.68400,60
Comoros,269,COM,2692,0.68400,60
Comoros,269,COM,2693,0.57500,60
Comoros,269,COM,2696,0.68400,60
Comoros,269,COM,2697,0.52200,60
Comoros,269,COM,2698,0.63500,60
Comoros,269,COM,2699,0.68400,60
